release,distributor,seasons,adjusted_gross
Body of Evidence,Metro-Goldwyn-Mayer (MGM),winter,27874549
Body of Lies,Warner Bros.,fall,55669087
Bohemian Rhapsody,Twentieth Century Fox,fall,261345631
Bolero,Cannon Film Distributors,summer,26209750
Bolt,Walt Disney Studios Motion Pictures,holiday season,149640280
Bombshell,Lionsgate,holiday season,15828110
Bones and All,United Artists Releasing,holiday season,8305001
Boo 2! A Madea Halloween,Lionsgate,fall,58203073
Boo! A Madea Halloween,Lionsgate,fall,92239992
Boogeyman,Screen Gems,winter,73401239
Boogie,Focus Features,spring,4763626
Boogie Nights,New Line Cinema,fall,49633203
Book Club,Paramount Pictures,summer,82965218
Book of Shadows: Blair Witch 2,Artisan Entertainment,fall,46793656
Booksmart,United Artists Releasing,summer,26990344
Boomerang,Paramount Pictures,summer,152013803
Booty Call,Sony Pictures Entertainment (SPE),winter,37694706
Borat,Twentieth Century Fox,holiday season,189658135
Born Yesterday,Walt Disney Studios Motion Pictures,spring,37700999
Born in East L.A.,Universal Pictures,summer,46685657
Born on the Fourth of July,Universal Pictures,holiday season,162743281
Bounce,Miramax,holiday season,64847874
Bowfinger,Universal Pictures,summer,120820290
Boys and Girls,Dimension Films,summer,38585384
Boys on the Side,Warner Bros.,winter,46645974
Boyz n the Hood,Columbia Pictures,summer,127659033
Brahmastra Part One: Shiva,Walt Disney Studios Motion Pictures,fall,8309454
Brahms: The Boy II,STX Entertainment,winter,14629381
Brainstorm,Metro-Goldwyn-Mayer (MGM),fall,31271547
Bram Stoker's Dracula,Columbia Pictures,holiday season,179074454
Brave,Walt Disney Studios Motion Pictures,summer,313182772
Braveheart,Paramount Pictures,summer,133366389
Brazil,Universal Pictures,holiday season,26869252
Breach,Universal Pictures,winter,49182270
Breakdown,Paramount Pictures,spring,94299190
Breakin',Cannon Film Distributors,spring,113727158
Breaking In,Universal Pictures,summer,56677113
Breakthrough,Twentieth Century Fox,spring,48448567
Breathless,Orion Pictures,summer,60924606
Brewster's Millions,Universal Pictures,summer,115966094
Bride Wars,Twentieth Century Fox,winter,83376024
Bride of Chucky,Universal Pictures,fall,59764990
Bridesmaids,Universal Pictures,summer,229985146
Bridge of Spies,Walt Disney Studios Motion Pictures,fall,90173153
Bridge to Terabithia,Walt Disney Studios Motion Pictures,winter,121763214
Bridget Jones's Diary,Miramax,spring,122339260
Bridget Jones: The Edge of Reason,Universal Pictures,holiday season,64441307
"Bright Lights, Big City",United Artists,spring,41745819
Bring It On,Universal Pictures,summer,120957534
Bringing Down the House,Walt Disney Studios Motion Pictures,spring,218982799
Broadcast News,Twentieth Century Fox,holiday season,125891883
Broadway Danny Rose,Orion Pictures,winter,31165461
Brokeback Mountain,Focus Features,holiday season,106625560
Broken Arrow,Twentieth Century Fox,winter,137294085
Bronco Billy,Warner Bros.,summer,93422787
Bros,Universal Pictures,fall,12325854
Brother Bear,Walt Disney Studios Motion Pictures,fall,136257437
Brown Sugar,-,fall,46091848
Brubaker,Twentieth Century Fox,summer,142918575
Bruce Almighty,Universal Pictures,summer,400668280
Brüno,Universal Pictures,summer,85277432
Buffy the Vampire Slayer,Twentieth Century Fox,summer,36075069
Bugsy,TriStar Pictures,holiday season,107419001
Bull Durham,Orion Pictures,summer,131801808
Bullet Train,Sony Pictures Entertainment (SPE),summer,109570718
Bulletproof,Universal Pictures,fall,41859290
Bulworth,Twentieth Century Fox,summer,49077142
Bumblebee,Paramount Pictures,holiday season,152791272
Burglar,Warner Bros.,spring,43947484
Burlesque,Screen Gems,holiday season,51616204
Burn After Reading,Focus Features,fall,85704592
Bustin' Loose,Universal Pictures,summer,107538765
CB4,Universal Pictures,spring,37702933
Caddyshack,Warner Bros.,summer,153408424
Caddyshack II,Warner Bros.,summer,30557602
Cadillac Man,Orion Pictures,summer,64924178
Calendar Girls,Walt Disney Studios Motion Pictures,holiday season,48561954
Can't Buy Me Love,Walt Disney Studios Motion Pictures,summer,85068110
Can't Hardly Wait,Sony Pictures Entertainment (SPE),summer,47369277
Candyman,TriStar Pictures,fall,55969312
Candyman,Universal Pictures,summer,69752689
Cannery Row,Metro-Goldwyn-Mayer (MGM),winter,16805878
Cannonball Run II,Warner Bros.,summer,82549534
Cape Fear,Universal Pictures,holiday season,174642545
Captain America: Civil War,Walt Disney Studios Motion Pictures,summer,514186279
Captain America: The First Avenger,Paramount Pictures,summer,240250126
